id,label,timeset,url,category
65,Yii2 session array with pagination,,/questions/41207687/yii2-session-array-with-pagination,jquery
66,Lazarus: fatal error when opening an “output” procedure in another procedure,,/questions/41207682/lazarus-fatal-error-when-opening-an-output-procedure-in-another-procedure,lazarus
67,Excel - Something between match/substring/left/find,,/questions/41207681/excel-something-between-match-substring-left-find,excel
68,FirebaseUser class not downloading / importing,,/questions/41207677/firebaseuser-class-not-downloading-importing,android
69,how to select and deselect onitemclick gridview android,,/questions/41207676/how-to-select-and-deselect-onitemclick-gridview-android,android
70,Android Wearable Device App Development,,/questions/41207675/android-wearable-device-app-development,android
71,ASP.NET MVC 5 not seeing “{id}” route in controller,,/questions/41207674/asp-net-mvc-5-not-seeing-id-route-in-controller,asp.net
72,How can i start minecraft directly-without launcher- from a batch file or from eclipse,,/questions/41207672/how-can-i-start-minecraft-directly-without-launcher-from-a-batch-file-or-from-e,java
73,belongsTo relation in Spring,,/questions/41207671/belongsto-relation-in-spring,spring
74,"first three colors apply to first three list items like var test Array = [red,green,blue,red,…] [on hold]",,/questions/41207668/first-three-colors-apply-to-first-three-list-items-like-var-test-array-red-gr,jquery
75,add two arrays in rust,,/questions/41207666/add-two-arrays-in-rust,arrays
76,Adding percentage symbol to all x axis list's elements,,/questions/41207665/adding-percentage-symbol-to-all-x-axis-lists-elements,python-3.x
77,Get marker added by google map drawing,,/questions/41207664/get-marker-added-by-google-map-drawing,javascript
78,Importing a video into python,,/questions/41207659/importing-a-video-into-python,python
79,"Gogole Big Query - Loading File From GCS Failed with “Not Found”, but the file exists",,/questions/41207655/gogole-big-query-loading-file-from-gcs-failed-with-not-found-but-the-file-e,google-bigquery
80,C++ Overloading Operator Errors [duplicate],,/questions/41207653/c-overloading-operator-errors,c++
81,why this jquery image slider not working with laravel @extends('layouts.app') and @section('content'),,/questions/41207650/why-this-jquery-image-slider-not-working-with-laravel-extendslayouts-app-an,javascript
82,SQLAlchemy: 2 x One-to-One Relationship declaration,,/questions/41207647/sqlalchemy-2-x-one-to-one-relationship-declaration,python
83,What is based Facebook PIXEL on?,,/questions/41207644/what-is-based-facebook-pixel-on,facebook
84,Data Structure and Algorithms java,,/questions/41207643/data-structure-and-algorithms-java,java
85,id.style or document.getElementById('id').style [duplicate],,/questions/41207642/id-style-or-document-getelementbyidid-style,javascript
86,What's the correct way of defining style attributes in Quill Parchment,,/questions/41207637/whats-the-correct-way-of-defining-style-attributes-in-quill-parchment,quill
87,how to return from async to normal execution in typescript,,/questions/41207636/how-to-return-from-async-to-normal-execution-in-typescript,asynchronous
88,Matplotlib how to center a 2D image at origin on XY surface in 3D plot?,,/questions/41207634/matplotlib-how-to-center-a-2d-image-at-origin-on-xy-surface-in-3d-plot,python
89,The difference between claimed return type and the actual one,,/questions/41207633/the-difference-between-claimed-return-type-and-the-actual-one,c++
90,i am unable findthe app_package and app_activity in MobileCompatibityType while coding in eclipse for appium.This is for testing the native app,,/questions/41207632/i-am-unable-findthe-app-package-and-app-activity-in-mobilecompatibitytype-while,android
91,List comprehension with instances python [on hold],,/questions/41207630/list-comprehension-with-instances-python,python
92,Getting Mysql $Row and query,,/questions/41207629/getting-mysql-row-and-query,php
93,Codeigniter - How VIEW can get data definded and can edit from Controller and defind Meta,,/questions/41207628/codeigniter-how-view-can-get-data-definded-and-can-edit-from-controller-and-de,php
94,from tensorflow.python.util import nest,,/questions/41207915/from-tensorflow-python-util-import-nest,python-2.7
95,Get names and types of a Python module's attributes,,/questions/41207624/get-names-and-types-of-a-python-modules-attributes,python
96,How to make same iOS Swift App with only some differences in the code and assets with scalable and clean mode,,/questions/41207622/how-to-make-same-ios-swift-app-with-only-some-differences-in-the-code-and-assets,ios
97,Angular JS 2: array.push not working,,/questions/41207620/angular-js-2-array-push-not-working,angular2
98,Nodes of linked list,,/questions/41207619/nodes-of-linked-list,java
99,Having trouble connecting MongoDB with Leaflet using Node.js,,/questions/41207334/having-trouble-connecting-mongodb-with-leaflet-using-node-js,javascript
100,Why can't I equate array pointer to address reference of array but can equate to pointer of address reference of array?,,/questions/41207914/why-cant-i-equate-array-pointer-to-address-reference-of-array-but-can-equate-to,c++
101,How to convert an audio file like mp3 to an mo3 file?,,/questions/41207912/how-to-convert-an-audio-file-like-mp3-to-an-mo3-file,audio
102,How to add value into input type date Javascript?,,/questions/41207909/how-to-add-value-into-input-type-date-javascript,javascript
103,JavaScript - Search pattern in string,,/questions/41207903/javascript-search-pattern-in-string,javascript
104,“Uncaught TypeError: Cannot read property 'clone' of undefined” when adding recurring events to database,,/questions/41207618/uncaught-typeerror-cannot-read-property-clone-of-undefined-when-adding-recu,javascript
105,ScrollTo() in Javascript scrolls all down,,/questions/41207617/scrollto-in-javascript-scrolls-all-down,javascript
106,SQL Server 2005 - Cross-Database View Performance,,/questions/41207332/sql-server-2005-cross-database-view-performance,sql-server
107,Why react highlight my second <select> option while the specified value is empty?,,/questions/41207329/why-react-highlight-my-second-select-option-while-the-specified-value-is-empty,reactjs
108,Is it Possible that to pass Byte Array image from Database to SSRS Report in c# windows application,,/questions/41207328/is-it-possible-that-to-pass-byte-array-image-from-database-to-ssrs-report-in-c-s,c#
109,Kivy Popup dynamically change height,,/questions/41207900/kivy-popup-dynamically-change-height,python-3.x
110,how to return a filepath and use it in another method?,,/questions/41207897/how-to-return-a-filepath-and-use-it-in-another-method,java
111,Is there a way to get all available action_types?,,/questions/41207896/is-there-a-way-to-get-all-available-action-types,facebook
112,How can I use a local mdf file on another computer?,,/questions/41207327/how-can-i-use-a-local-mdf-file-on-another-computer,asp.net
113,DB connection is not closed after request ends in a NancyFx application,,/questions/41207324/db-connection-is-not-closed-after-request-ends-in-a-nancyfx-application,database-connection
114,In table view Checkmark de select from same button is it possible?,,/questions/41207322/in-table-view-checkmark-de-select-from-same-button-is-it-possible,swift
115,Spark: Join within UDF or map function,,/questions/41207895/spark-join-within-udf-or-map-function,apache-spark
116,Python unit test fails despite meeting requirement,,/questions/41207894/python-unit-test-fails-despite-meeting-requirement,python
117,I want http request using already connected port using C,,/questions/41207893/i-want-http-request-using-already-connected-port-using-c,c
118,Trying to scrape kickasstorrents with simple html dom,,/questions/41207891/trying-to-scrape-kickasstorrents-with-simple-html-dom,php
119,How to apply my search on files with different extension in batch,,/questions/41207818/how-to-apply-my-search-on-files-with-different-extension-in-batch,batch-file
120,How to use Firebase cloud messaging to push notification using asp.net mvc,,/questions/41207321/how-to-use-firebase-cloud-messaging-to-push-notification-using-asp-net-mvc,asp.net-mvc
121,hide and show a ui nav bar button,,/questions/41207320/hide-and-show-a-ui-nav-bar-button,ios
122,No respose from application web server,,/questions/41207889/no-respose-from-application-web-server,oracle
123,gulp-sass remeins silent on certain errors (invalid terms),,/questions/41207888/gulp-sass-remeins-silent-on-certain-errors-invalid-terms,error-handling
124,JavaScript Flow On Assistance,,/questions/41207887/javascript-flow-on-assistance,javascript
125,Python list element replacement [duplicate],,/questions/41207815/python-list-element-replacement,python-2.7
126,Angular2 Mvc5 sample application add component in inner folder,,/questions/41207814/angular2-mvc5-sample-application-add-component-in-inner-folder,angularjs
127,How to verify Mockito interaction with the view that happen on new thread other than the one which is running the test case?,,/questions/41207812/how-to-verify-mockito-interaction-with-the-view-that-happen-on-new-thread-other,android
128,what modelling language should I use for python 3 and C#.Net 6.0? [on hold],,/questions/41207811/what-modelling-language-should-i-use-for-python-3-and-c-net-6-0,c#
129,Multiple Linear Regression handle NA,,/questions/41207318/multiple-linear-regression-handle-na,r
130,Can ngOnDestroy happen before ngAfterContentInit?,,/questions/41207317/can-ngondestroy-happen-before-ngaftercontentinit,angular2
131,java.lang.NoSuchMethodError in netty-socketio server,,/questions/41207315/java-lang-nosuchmethoderror-in-netty-socketio-server,java
132,How can i solve the the following error?,,/questions/41207313/how-can-i-solve-the-the-following-error,java
133,How to join output of models in Laravel?,,/questions/41207886/how-to-join-output-of-models-in-laravel,laravel
134,Using .into() when type inference is impossible,,/questions/41207885/using-into-when-type-inference-is-impossible,rust
135,"Scroll View Is not working in my Android Devide,",,/questions/41207884/scroll-view-is-not-working-in-my-android-devide,android
136,sequelizejs / associations / returning custom join table column for included models,,/questions/41207883/sequelizejs-associations-returning-custom-join-table-column-for-included-mod,node.js
137,Authenticate to Azure Function from within App,,/questions/41207881/authenticate-to-azure-function-from-within-app,c#
138,coupled pendulum with spring,,/questions/41207809/coupled-pendulum-with-spring,python
139,How is react faster than Angular 1.x,,/questions/41207806/how-is-react-faster-than-angular-1-x,angularjs
140,Html template not properly working with angularJS 2,,/questions/41207804/html-template-not-properly-working-with-angularjs-2,javascript
141,How to determine rowspan depending on number of child columns?,,/questions/41207310/how-to-determine-rowspan-depending-on-number-of-child-columns,php
142,Prevent woocommerce from calling maps api,,/questions/41207309/prevent-woocommerce-from-calling-maps-api,google-maps
143,Ionic Resizable textbox like in Google Sheet,,/questions/41207308/ionic-resizable-textbox-like-in-google-sheet,angularjs
144,Mutable reference to a tuple as input parameter,,/questions/41207306/mutable-reference-to-a-tuple-as-input-parameter,rust
145,E/EGL_emulation: tid 2633: eglSurfaceAttrib(1165): error 0x3009 (EGL_BAD_MATCH),,/questions/41207879/e-egl-emulation-tid-2633-eglsurfaceattrib1165-error-0x3009-egl-bad-match,android
146,How to use Linux shell variable with sequence number?,,/questions/41207878/how-to-use-linux-shell-variable-with-sequence-number,linux
147,maven copy-resource plugin with mvn clean install not work,,/questions/41207801/maven-copy-resource-plugin-with-mvn-clean-install-not-work,java
148,Java split collection into smaller parts of same size for a general base type,,/questions/41207799/java-split-collection-into-smaller-parts-of-same-size-for-a-general-base-type,java
149,Node.js server doesn't resfresh my index.html,,/questions/41207302/node-js-server-doesnt-resfresh-my-index-html,javascript
150,RN react-native opens editor while running,,/questions/41207298/rn-react-native-opens-editor-while-running,react-native
151,How do i do something each hour like increment a variable in python,,/questions/41207297/how-do-i-do-something-each-hour-like-increment-a-variable-in-python,python-2.7
152,"I want to develop a webbrowser like this software,Is threre any solutions about it?",,/questions/41207294/i-want-to-develop-a-webbrowser-like-this-software-is-threre-any-solutions-about,c#
153,“The use statement with non-compound name…” [duplicate],,/questions/41207107/the-use-statement-with-non-compound-name,php
154,Mandatory update for apps in windows store,,/questions/41207877/mandatory-update-for-apps-in-windows-store,windows-store-apps
155,gulp.lastrun returns a value only after the done() function is called,,/questions/41207876/gulp-lastrun-returns-a-value-only-after-the-done-function-is-called,gulp
156,0/1 knapsack algorithm using greedy and backtracking,,/questions/41207873/0-1-knapsack-algorithm-using-greedy-and-backtracking,python
157,One database per client or all clients in one database?,,/questions/41207871/one-database-per-client-or-all-clients-in-one-database,.net
158,INSERT OR IGNORE in SQLAlchemy,,/questions/41207798/insert-or-ignore-in-sqlalchemy,python
159,How to link between two controllers and two views in HTML/erb,,/questions/41207796/how-to-link-between-two-controllers-and-two-views-in-html-erb,html
160,how to call WakefulBroadcastReceiver,,/questions/41207794/how-to-call-wakefulbroadcastreceiver,java
161,Simulating a key press linux,,/questions/41207793/simulating-a-key-press-linux,linux
162,Return to data listing after inputting data,,/questions/41207792/return-to-data-listing-after-inputting-data,android
163,Can these components style be created in inno setup?,,/questions/41207292/can-these-components-style-be-created-in-inno-setup,styles
164,Get values from multiple input fields generated by #each in meteor and insert them in collection,,/questions/41207290/get-values-from-multiple-input-fields-generated-by-each-in-meteor-and-insert-th,javascript
165,Django website loads with empty root urls.py file,,/questions/41207289/django-website-loads-with-empty-root-urls-py-file,django
166,both document.body and document.getElementsByTagName(“BODY”).item(0); return entire document,,/questions/41207106/both-document-body-and-document-getelementsbytagnamebody-item0-return-ent,javascript
167,Sample DotNetActivity in Microsoft Azure,,/questions/41207103/sample-dotnetactivity-in-microsoft-azure,azure
168,is it possible to change color of png image in svg element by css or javascript?,,/questions/41207097/is-it-possible-to-change-color-of-png-image-in-svg-element-by-css-or-javascript,javascript
169,mac umount deletes folder that filesystem is mounted to,,/questions/41207869/mac-umount-deletes-folder-that-filesystem-is-mounted-to,bash
170,What is the structure of the object Cursor?,,/questions/41207867/what-is-the-structure-of-the-object-cursor,android
171,How to override Gson default DateTypeAdapter?,,/questions/41207787/how-to-override-gson-default-datetypeadapter,java
172,OpenSCManager returns invalid handle when called from .NET V4,,/questions/41207786/openscmanager-returns-invalid-handle-when-called-from-net-v4,vb.net
173,How to have a secure API with symfony backend and WSSE auth & angular front end?,,/questions/41207785/how-to-have-a-secure-api-with-symfony-backend-and-wsse-auth-angular-front-end,angularjs
174,Xamarin Android | UI shows up blank in device,,/questions/41207285/xamarin-android-ui-shows-up-blank-in-device,visual-studio
175,white space below footer - Cant remove,,/questions/41207284/white-space-below-footer-cant-remove,css
176,Django 1.10 redirect view not working,,/questions/41207283/django-1-10-redirect-view-not-working,python
177,SNS subscription attributes don't return in ruby,,/questions/41207096/sns-subscription-attributes-dont-return-in-ruby,ruby
178,Kibana show no results for geohash aggregation,,/questions/41207095/kibana-show-no-results-for-geohash-aggregation,elasticsearch
179,Getting the phone number of nearby place,,/questions/41207093/getting-the-phone-number-of-nearby-place,android
180,MediaStore.EXTRA_OUTPUT always contains null in Lanscape mode,,/questions/41207091/mediastore-extra-output-always-contains-null-in-lanscape-mode,android
181,python - py-expression-eval - Passing a numpy ndarray,,/questions/41207865/python-py-expression-eval-passing-a-numpy-ndarray,python
182,How to delete a file automatically after it has been run?,,/questions/41207864/how-to-delete-a-file-automatically-after-it-has-been-run,sorting
183,Gradle throw app:mergedebugresources exception,,/questions/41207861/gradle-throw-appmergedebugresources-exception,android
184,Aeson: FromJSON with nested encoded json,,/questions/41207781/aeson-fromjson-with-nested-encoded-json,haskell
185,What is causing this “cannot be interpreted as an integer” error?,,/questions/41207779/what-is-causing-this-cannot-be-interpreted-as-an-integer-error,python
186,How do I make a bitmap header as 1bytes / 1pixel?,,/questions/41207280/how-do-i-make-a-bitmap-header-as-1bytes-1pixel,c++
187,Preventing click event navigating back to recyclerview android,,/questions/41207277/preventing-click-event-navigating-back-to-recyclerview-android,android
188,How does session_regenerate_id() work internally?,,/questions/41207273/how-does-session-regenerate-id-work-internally,php
189,How should I pass a large amount of Redux actions from a container to presentational component?,,/questions/41207086/how-should-i-pass-a-large-amount-of-redux-actions-from-a-container-to-presentati,reactjs
190,App crashes when accessing database or when accessing fragment instances,,/questions/41207085/app-crashes-when-accessing-database-or-when-accessing-fragment-instances,android
191,Match part of text inside of tag,,/questions/41207078/match-part-of-text-inside-of-tag,javascript
192,Node express JSON-Schema multiple fields validation,,/questions/41207860/node-express-json-schema-multiple-fields-validation,javascript
193,How to stop RelativeLayout from changing its height automatically?,,/questions/41207859/how-to-stop-relativelayout-from-changing-its-height-automatically,android
194,"Find path in a dict of edges, python",,/questions/41207776/find-path-in-a-dict-of-edges-python,python
195,C++ how do I create a tuple of N T's from an array of T?,,/questions/41207774/c-how-do-i-create-a-tuple-of-n-ts-from-an-array-of-t,c++
196,glsl&opengl: named uniform blocks,,/questions/41207272/glslopengl-named-uniform-blocks,opengl
197,Show a Modal Window while a db query is taking place,,/questions/41207271/show-a-modal-window-while-a-db-query-is-taking-place,javascript
198,Hot to implemet notification direct reply in Ionic2,,/questions/41207270/hot-to-implemet-notification-direct-reply-in-ionic2,push-notification
199,Program not executing completely and skipping statements [duplicate],,/questions/41207076/program-not-executing-completely-and-skipping-statements,c
200,How launch game when user press “start game” button on telegram bot?,,/questions/41207073/how-launch-game-when-user-press-start-game-button-on-telegram-bot,telegram-bot
201,Capturing GET request params in Node.js,,/questions/41207072/capturing-get-request-params-in-node-js,node.js
202,How to add a numerical value for a char in Java,,/questions/41207858/how-to-add-a-numerical-value-for-a-char-in-java,java
203,How to read from a file to a map,,/questions/41207855/how-to-read-from-a-file-to-a-map,c++11
204,fail2ban banning but not really,,/questions/41207852/fail2ban-banning-but-not-really,apache
205,OS X Python quit unexpectedly when multiprocessing,,/questions/41207850/os-x-python-quit-unexpectedly-when-multiprocessing,python
206,Button to open another activity,,/questions/41207772/button-to-open-another-activity,android
207,How to store an HTTP request into a collection on a Node / Meteor server?,,/questions/41207771/how-to-store-an-http-request-into-a-collection-on-a-node-meteor-server,javascript
208,forgot password in codeigniter with sending email,,/questions/41207769/forgot-password-in-codeigniter-with-sending-email,php
209,Phongap Build 'App Not Installed' Error on Android,,/questions/41207268/phongap-build-app-not-installed-error-on-android,android
210,REST - Updating partial data,,/questions/41207267/rest-updating-partial-data,rest
211,How to properly store additional info per form field and retrieve it with iTextSharp,,/questions/41207266/how-to-properly-store-additional-info-per-form-field-and-retrieve-it-with-itexts,c#
212,Displaying a list of paths as a graphical tree,,/questions/41207071/displaying-a-list-of-paths-as-a-graphical-tree,python
213,On button click send Ajax call and get value from aspx.cs(code behind) to aspx page and display it in input field in the same page,,/questions/41207847/on-button-click-send-ajax-call-and-get-value-from-aspx-cscode-behind-to-aspx-p,javascript
214,Benefits Of Using Interfaces or Abstract Classes On Solo Projects,,/questions/41207845/benefits-of-using-interfaces-or-abstract-classes-on-solo-projects,java
215,using discrete and continuous obserbed variables with discrete hidden node for a DBN (HMM),,/questions/41207844/using-discrete-and-continuous-obserbed-variables-with-discrete-hidden-node-for-a,matlab
216,Notice: Trying to get property of non-object in C:\Users\admin\Desktop\xampp\htdocs\ict\connect.php on line 19 0 results,,/questions/41207768/notice-trying-to-get-property-of-non-object-in-c-users-admin-desktop-xampp-htd,php
217,Configuring strong parameters for dynamic keys,,/questions/41207766/configuring-strong-parameters-for-dynamic-keys,ruby-on-rails
218,Where Dell buys it's screens for monitors and how they configure them?,,/questions/41207763/where-dell-buys-its-screens-for-monitors-and-how-they-configure-them,configuration
219,Algorithm - minimum diameter spanning tree,,/questions/41207264/algorithm-minimum-diameter-spanning-tree,algorithm
220,to use self-defined deleter in shared_ptr,,/questions/41207262/to-use-self-defined-deleter-in-shared-ptr,c++
221,how to make a pair combination per each line,,/questions/41207261/how-to-make-a-pair-combination-per-each-line,python
222,Adding Revenuehits pop under script to angularjs website,,/questions/41207260/adding-revenuehits-pop-under-script-to-angularjs-website,angularjs
223,How does Google catch me?,,/questions/41207070/how-does-google-catch-me,osx
224,Read DateTime value in correct format with JQuery (passed from controller to ajax) [duplicate],,/questions/41207069/read-datetime-value-in-correct-format-with-jquery-passed-from-controller-to-aja,c#
225,Array of vectors,,/questions/41207068/array-of-vectors,c++
226,Decimal hour shows 4 min 60 seconds not 5 minutes,,/questions/41207067/decimal-hour-shows-4-min-60-seconds-not-5-minutes,swift
227,Loop Does not Executing and object is sent before by server that is after the loop,,/questions/41207064/loop-does-not-executing-and-object-is-sent-before-by-server-that-is-after-the-lo,java
228,"Facebook currentAccessToken return nil , but FBSDKLoginButton show logout",,/questions/41206778/facebook-currentaccesstoken-return-nil-but-fbsdkloginbutton-show-logout,objective-c
229,Find invalid images in a huge collection,,/questions/41207841/find-invalid-images-in-a-huge-collection,python
230,Angular2 & MAMP integration,,/questions/41207839/angular2-mamp-integration,php
231,HTML Canvas: Animation Delay,,/questions/41207837/html-canvas-animation-delay,javascript
232,Error in xBlog on sitecore 8.2 with Solr 6.1,,/questions/41207833/error-in-xblog-on-sitecore-8-2-with-solr-6-1,solr
233,ffmpeg: Batch convert different video files to .mp4 and respectively hardcode SRT subtitles on them,,/questions/41207832/ffmpeg-batch-convert-different-video-files-to-mp4-and-respectively-hardcode-sr,linux
234,Custom Directives in AngularJS,,/questions/41207760/custom-directives-in-angularjs,javascript
235,[Android][App]Error:(5) No resource identifier found for attribute 'shortcutId' in package 'android',,/questions/41207755/androidapperror5-no-resource-identifier-found-for-attribute-shortcutid,java
236,"knockout binding is not working, how to fix?",,/questions/41207754/knockout-binding-is-not-working-how-to-fix,javascript
237,no schema has been selected to create in … error,,/questions/41207259/no-schema-has-been-selected-to-create-in-error,python
238,Where do I put the onTouchListener method in an android project?,,/questions/41207258/where-do-i-put-the-ontouchlistener-method-in-an-android-project,java
239,3 summations in 1 constraints on CPLEX,,/questions/41207257/3-summations-in-1-constraints-on-cplex,cplex
240,Spring-Boot-Starter-Parent in combination with “property-placeholder”,,/questions/41207063/spring-boot-starter-parent-in-combination-with-property-placeholder,spring-boot
241,Tabs not visible but navigation on swipe works in TabLayout,,/questions/41207061/tabs-not-visible-but-navigation-on-swipe-works-in-tablayout,android
242,How to display filefield in the grid cell in ExtJS,,/questions/41206777/how-to-display-filefield-in-the-grid-cell-in-extjs,extjs
243,Excel VBA - if weekday of file created date matches cell value?,,/questions/41206775/excel-vba-if-weekday-of-file-created-date-matches-cell-value,excel
244,error building project with phonegap build,,/questions/41206774/error-building-project-with-phonegap-build,android
245,PHP MySQL- Insert into database error,,/questions/41207831/php-mysql-insert-into-database-error,php
